
index	feature1	feature2	corr	abs_corr
430	1269	75 to 84 years	division_name_Middle Atlantic	0.778577	0.778577
436	24470	location_name_Church/Synagogue/Temple/Mosque	victim_types_Religious Organization	0.758907	0.758907
438	22007	offense_name_Weapon Law Violations	victim_types_Society/Public	0.739289	0.739289
444	33388	division_name_Middle Atlantic	65 to 74 years	0.688493	0.688493
446	33377	division_name_Middle Atlantic	Under 5 years	0.674078	0.674078
448	1717	25 to 34 years	division_name_Middle Atlantic	0.672413	0.672413
450	3061	85 years and over	division_name_Middle Atlantic	0.670851	0.670851
452	33387	division_name_Middle Atlantic	55 to 59 years	0.666294	0.666294
456	1493	60 to 64 years	division_name_Middle Atlantic	0.663305	0.663305
458	597	5 to 9 years	division_name_Middle Atlantic	0.660862	0.660862
462	821	45 to 54 years	division_name_Middle Atlantic	0.654621	0.654621
464	149	Total population	division_name_Middle Atlantic	0.652460	0.652460
466	33380	division_name_Middle Atlantic	10 to 14 years	0.651365	0.651365
472	33386	division_name_Middle Atlantic	35 to 44 years	0.632816	0.632816
474	33384	division_name_Middle Atlantic	15 to 19 years	0.631439	0.631439
482	37569	offender_ethnicity_Not Specified	offender_race_Not Specified	0.620441	0.620441
484	33385	division_name_Middle Atlantic	20 to 24 years	0.620385	0.620385
496	11489	victim_types_Individual	offense_name_Destruction/Damage/Vandalism of P...	-0.599561	0.599561
506	15063	offense_name_Drug/Narcotic Violations	victim_types_Society/Public	0.575430	0.575430
518	10803	victim_types_Business	victim_types_Individual	-0.515677	0.515677
524	37351	offender_ethnicity_Not Hispanic or Latino	offender_ethnicity_Not Specified	-0.483592	0.483592
536	1287	75 to 84 years	offender_ethnicity_Not Specified	0.459713	0.459713
540	4758	bias_desc_Anti-Catholic	victim_types_Religious Organization	0.450657	0.450657
578	4813	bias_desc_Anti-Catholic	location_name_Church/Synagogue/Temple/Mosque	0.382260	0.382260
582	33543	division_name_Middle Atlantic	offender_ethnicity_Not Specified	0.379408	0.379408
584	34197	division_name_Pacific	division_name_Middle Atlantic	-0.371506	0.371506
586	11251	victim_types_Government	victim_types_Individual	-0.365755	0.365755
588	7173	bias_desc_Anti-Jewish	75 to 84 years	0.363677	0.363677
