"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S0101_C01_001E","Total population"
"S0101_C01_001M","Margin of Error!!Total population"
"S0101_C01_002E","Under 5 years"
"S0101_C01_002M","Margin of Error!!Under 5 years"
"S0101_C01_003E","5 to 9 years"
"S0101_C01_003M","Margin of Error!!5 to 9 years"
"S0101_C01_004E","10 to 14 years"
"S0101_C01_004M","Margin of Error!!10 to 14 years"
"S0101_C01_005E","15 to 19 years"
"S0101_C01_005M","Margin of Error!!15 to 19 years"
"S0101_C01_006E","20 to 24 years"
"S0101_C01_006M","Margin of Error!!20 to 24 years"
"S0101_C01_007E","25 to 29 years"
"S0101_C01_007M","Margin of Error!!25 to 29 years"
"S0101_C01_008E","30 to 34 years"
"S0101_C01_008M","Margin of Error!!30 to 34 years"
"S0101_C01_009E","35 to 39 years"
"S0101_C01_009M","Margin of Error!!35 to 39 years"
"S0101_C01_010E","40 to 44 years"
"S0101_C01_010M","Margin of Error!!40 to 44 years"
"S0101_C01_011E","45 to 49 years"
"S0101_C01_011M","Margin of Error!!45 to 49 years"
"S0101_C01_012E","50 to 54 years"
"S0101_C01_012M","Margin of Error!!50 to 54 years"
"S0101_C01_013E","55 to 59 years"
"S0101_C01_013M","Margin of Error!!55 to 59 years"
"S0101_C01_014E","60 to 64 years"
"S0101_C01_014M","Margin of Error!!60 to 64 years"
"S0101_C01_015E","65 to 69 years"
"S0101_C01_015M","Margin of Error!!65 to 69 years"
"S0101_C01_016E","70 to 74 years"
"S0101_C01_016M","Margin of Error!!70 to 74 years"
"S0101_C01_017E","75 to 79 years"
"S0101_C01_017M","Margin of Error!!75 to 79 years"
"S0101_C01_018E","80 to 84 years"
"S0101_C01_018M","Margin of Error!!80 to 84 years"
"S0101_C01_019E","85 years and over"
"S0101_C01_019M","Margin of Error!!85 years and over"
"S0101_C01_020E","5 to 14 years"
"S0101_C01_020M","Margin of Error!!5 to 14 years"
"S0101_C01_021E","15 to 17 years"
"S0101_C01_021M","Margin of Error!!15 to 17 years"
"S0101_C01_022E","Under 18 years"
"S0101_C01_022M","Margin of Error!!Under 18 years"
"S0101_C01_023E","18 to 24 years"
"S0101_C01_023M","Margin of Error!!18 to 24 years"
"S0101_C01_024E","15 to 44 years"
"S0101_C01_024M","Margin of Error!!15 to 44 years"
"S0101_C01_025E","16 years and over"
"S0101_C01_025M","Margin of Error!!16 years and over"
"S0101_C01_026E","18 years and over"
"S0101_C01_026M","Margin of Error!!18 years and over"
"S0101_C01_027E","21 years and over"
"S0101_C01_027M","Margin of Error!!21 years and over"
"S0101_C01_028E","60 years and over"
"S0101_C01_028M","Margin of Error!!60 years and over"
"S0101_C01_029E","62 years and over"
"S0101_C01_029M","Margin of Error!!62 years and over"
"S0101_C01_030E","65 years and over"
"S0101_C01_030M","Margin of Error!!65 years and over"
"S0101_C01_031E","75 years and over"
"S0101_C01_031M","Margin of Error!!75 years and over"
"S0101_C01_032E","Median age (years)"
"S0101_C01_032M","Margin of Error!!Median age (years)"
"S0101_C01_033E","Sex ratio (males per 100 females)"
"S0101_C01_033M","Margin of Error!!Sex ratio (males per 100 females)"
"S0101_C01_034E","Age dependency ratio"
"S0101_C01_034M","Margin of Error!!Age dependency ratio"
"S0101_C01_035E","Old-age dependency ratio"
"S0101_C01_035M","Margin of Error!!Old-age dependency ratio"
"S0101_C01_036E","Child dependency ratio"
"S0101_C01_036M","Margin of Error!!Child dependency ratio"
"S0101_C01_037E","PERCENT ALLOCATED!!Sex"
"S0101_C01_037M","Margin of Error!!PERCENT ALLOCATED!!Sex"
"S0101_C01_038E","PERCENT ALLOCATED!!Age"
"S0101_C01_038M","Margin of Error!!PERCENT ALLOCATED!!Age"
"S0101_C02_001E","Percent!!Total population"
"S0101_C02_001M","Margin of Error!!Percent!!Total population"
"S0101_C02_002E","Percent!!Under 5 years"
"S0101_C02_002M","Margin of Error!!Percent!!Under 5 years"
"S0101_C02_003E","Percent!!5 to 9 years"
"S0101_C02_003M","Margin of Error!!Percent!!5 to 9 years"
"S0101_C02_004E","Percent!!10 to 14 years"
"S0101_C02_004M","Margin of Error!!Percent!!10 to 14 years"
"S0101_C02_005E","Percent!!15 to 19 years"
